RECORD_ID,ISSUE_DATE,YEAR,MONTH,PERMIT_TYPE,WORK_TYPE,REPORTED_COST,COMMUNITY_AREA_NAME,LATITUDE,LONGITUDE,x,y,PROJECTION,COMMUNITY_UPPER
101014926,2023-05-01,2023,5,PERMIT - EASY PERMIT PROCESS,Unknown,27000.0,Auburn Gresham,41.74663982161,-87.66227587218,1.0917592228140556,0.5551715887248847,PCA,AUBURN GRESHAM
B100958031,2022-02-08,2022,2,PERMIT – EXPRESS PERMIT PROGRAM,Administrative Change,,Near West Side,41.87817115189,-87.64856607506,0.28827066152503633,-0.3095384334712769,PCA,NEAR WEST SIDE
B100982354,2022-09-08,2022,9,PERMIT – EXPRESS PERMIT PROGRAM,Fire Alarm System,15570.0,Loop,41.88172245681,-87.6371636182,0.36198889869181766,0.3024737005091704,PCA,LOOP
B100986370,2022-09-08,2022,9,PERMIT – EXPRESS PERMIT PROGRAM,Electrical Work,1489.0,New City,41.820957494,-87.65377832181,0.6638805011651656,-0.5285439485851395,PCA,NEW CITY
B200430552,2025-06-18,2025,6,PERMIT – EXPRESS PERMIT PROGRAM,Masonry Work,5500.0,Logan Square,41.91756447771,-87.67411623866,-0.381393591363545,-0.2527502666944206,PCA,LOGAN SQUARE
B101025568,2023-07-27,2023,7,PERMIT – EXPRESS PERMIT PROGRAM,Electrical Work,30000.0,Kenwood,41.81071875306,-87.59560578225,1.3867158466544949,0.2552747153888575,PCA,KENWOOD
B200401447,2024-10-11,2024,10,PERMIT – EXPRESS PERMIT PROGRAM,Electrical Work,1000.0,Roseland,41.69784876088,-87.61121358653,2.1611826944505035,-0.5778084035466632,PCA,ROSELAND
B200441366,2025-09-09,2025,9,PERMIT – EXPRESS PERMIT PROGRAM,Small-Scale Solar PV System,19022.0,Auburn Gresham,41.73435084308,-87.66681803525,1.1916392136620753,0.43386447530247435,PCA,AUBURN GRESHAM
100971164,2022-06-09,2022,6,PERMIT - SIGNS,Unknown,4500.0,Auburn Gresham,41.74343077414,-87.63188803466,1.4613529406898782,-0.03838297741223072,PCA,AUBURN GRESHAM
100885183,2021-01-05,2021,1,PERMIT - RENOVATION/ALTERATION,Unknown,75000.0,McKinley Park,41.83107697421,-87.68248397308,0.14930426607718134,0.6203573827971104,PCA,MCKINLEY PARK
100915603,2021-04-04,2021,4,PERMIT - RENOVATION/ALTERATION,Unknown,39000.0,Lincoln Park,41.91246960594,-87.63460366863,-0.019078223911600755,0.4190234557723467,PCA,LINCOLN PARK
100956252,2022-01-26,2022,1,PERMIT - RENOVATION/ALTERATION,Unknown,8700.0,Near West Side,41.87032357203,-87.6847669185,-0.1447221393490075,-0.05415115131089811,PCA,NEAR WEST SIDE
B100937460,2021-08-27,2021,8,PERMIT – EXPRESS PERMIT PROGRAM,Electrical Work,2000.0,Lincoln Square,41.96604101654,-87.68897394633,-0.9497634435484519,-0.6338770901998707,PCA,LINCOLN SQUARE
B200399386,2024-10-02,2024,10,PERMIT – EXPRESS PERMIT PROGRAM,Monthly Maintenance Permit,,Near North Side,41.89770258098,-87.6234619563,0.39321094918807953,0.2918781604069743,PCA,NEAR NORTH SIDE
B100945787,2021-10-25,2021,10,PERMIT – EXPRESS PERMIT PROGRAM,Electrical Work,350.0,South Shore,41.75723870004,-87.55790768751,2.356250134115294,-0.5352763612357246,PCA,SOUTH SHORE
B200025367,2024-09-03,2024,9,PERMIT – EXPRESS PERMIT PROGRAM,Masonry Work,158847.0,Loop,41.88651728872,-87.62467768643,0.455057772168835,1.1422317863645526,PCA,LOOP
B100912332,2021-11-11,2021,11,PERMIT – EXPRESS PERMIT PROGRAM,Electrical Work,3309.0,Archer Heights,41.80808109853,-87.7157634002,0.030078000451892163,-0.20744539633593526,PCA,ARCHER HEIGHTS
B100903344,2020-12-17,2020,12,PERMIT – EXPRESS PERMIT PROGRAM,Fire Alarm System,9600.0,Logan Square,41.92504785225,-87.67775352198,-0.5215997863216917,0.34923697897902733,PCA,LOGAN SQUARE
101012553,2023-11-21,2023,11,PERMIT - NEW CONSTRUCTION,Unknown,200000.0,Beverly,41.70770218861,-87.66202077518,1.3611909693300461,1.6466175940601409,PCA,BEVERLY
B100926151,2021-06-09,2021,6,PERMIT – EXPRESS PERMIT PROGRAM,Electrical Work,1200.0,Roseland,41.69125977001,-87.64128066357,1.8980232281680947,-0.7753464429563387,PCA,ROSELAND
B200014120,2024-04-15,2024,4,PERMIT – EXPRESS PERMIT PROGRAM,Exterior Windows/Doors Replacement,1200.0,Ashburn,41.74587467932,-87.72798198635,0.45285986486677876,-0.8204722286503924,PCA,ASHBURN
100861262,2020-07-14,2020,7,PERMIT - SIGNS,Unknown,30000.0,Near North Side,41.89246583111,-87.63654818133,0.22129218078874102,0.7682609792551456,PCA,NEAR NORTH SIDE
100907196,2021-03-12,2021,3,PERMIT - WRECKING/DEMOLITION,Unknown,1.0,Morgan Park,41.69298987458,-87.65642576676,1.7176587597949065,-2.681400656428784,PCA,MORGAN PARK
B200422926,2025-05-13,2025,5,PERMIT – EXPRESS PERMIT PROGRAM,Exterior Windows/Doors Replacement,33780.0,Logan Square,41.91571752596,-87.70189134796,-0.701784654061913,0.22196512885026157,PCA,LOGAN SQUARE
100991186,2022-11-10,2022,11,PERMIT - RENOVATION/ALTERATION,Unknown,675000.0,O’Hare,42.00853640087,-87.91442843927,-4.093859756130702,1.6888554901454582,PCA,O’HARE
B200415998,2025-03-21,2025,3,PERMIT – EXPRESS PERMIT PROGRAM,Masonry Work,18800.0,Near West Side,41.87907913454,-87.64899181069,0.22910078842848164,-0.2333683390165024,PCA,NEAR WEST SIDE
100971180,2022-05-10,2022,5,PERMIT - EASY PERMIT PROCESS,Unknown,1000.0,Brighton Park,41.81249314428,-87.69908989822,0.15982855814819816,-0.5219239893789372,PCA,BRIGHTON PARK
100928862,2022-03-03,2022,3,PERMIT - RENOVATION/ALTERATION,Unknown,25000.0,Uptown,41.97629488611,-87.65442366535,-0.7292053772780374,0.38451322207209215,PCA,UPTOWN
100997325,2022-12-01,2022,12,PERMIT - RENOVATION/ALTERATION,Unknown,1.0,Bridgeport,41.82667191007,-87.64884189142,0.6763895674138936,-1.600941570942537,PCA,BRIDGEPORT
100874710,2020-05-18,2020,5,PERMIT - EASY PERMIT PROCESS,Unknown,18290.0,Portage Park,41.95529452836,-87.77792764832,-1.961605453467276,0.29945950958301365,PCA,PORTAGE PARK
B100996297,2023-04-06,2023,4,PERMIT – EXPRESS PERMIT PROGRAM,Electrical Work,1.0,West Ridge,41.99822701535,-87.69248798384,-1.128650497858958,-2.9347026814357826,PCA,WEST RIDGE
B100863072,2020-02-25,2020,2,PERMIT – EXPRESS PERMIT PROGRAM,Monthly Maintenance Permit,250.0,Loop,41.87856015362,-87.63652387206,0.4967644318348408,-1.4315980544009446,PCA,LOOP
B100969681,2022-04-29,2022,4,PERMIT – EXPRESS PERMIT PROGRAM,Electrical Work,4000.0,Riverdale,41.65574698091,-87.60966046442,2.522638863090469,-0.6918970706813751,PCA,RIVERDALE
100954454,2022-01-06,2022,1,PERMIT - EASY PERMIT PROCESS,Unknown,4500.0,Dunning,41.94450683542,-87.80342396233,-2.171761743170134,-0.6959543279869176,PCA,DUNNING
100919248,2021-04-23,2021,4,PERMIT - EASY PERMIT PROCESS,Unknown,7500.0,Lake View,41.94092548331,-87.65163329887,-0.3841848242260454,-0.1257270775713229,PCA,LAKE VIEW
100934855,2021-09-17,2021,9,PERMIT - EASY PERMIT PROCESS,Unknown,100.0,West Town,41.90024922573,-87.68294535471,-0.3644029428967065,-1.0007239397125534,PCA,WEST TOWN
101035339,2023-11-08,2023,11,PERMIT - SIGNS,Unknown,1800.0,Beverly,41.72113584831,-87.67622695845,1.1381733704161656,0.13183547329582423,PCA,BEVERLY
